timestamp,Vol1Ex1,Vol1Ex2,Vol1Ex3,Vol1Ex4,Vol1Ex5,Vol2Ex1,Vol2Ex2,Vol2Ex3,Vol2Ex4,Vol2Ex5,Vol3Ex1,Vol3Ex2,Vol3Ex3,Vol3Ex4,Vol3Ex5,Vol4Ex1,Vol4Ex2,Vol4Ex3,Vol4Ex4,Vol4Ex5,Vol5Ex1,Vol5Ex2,Vol5Ex3,Vol5Ex4,Vol5Ex5,Vol6Ex1,Vol6Ex2,Vol6Ex3,Vol6Ex4,Vol6Ex5,Vol7Ex1,Vol7Ex2,Vol7Ex3,Vol7Ex4,Vol7Ex5
0.8684,84.02787,79.47115,78.82524,86.73886,93.95815,143.2898,138.5031,146.5497,148.0201,141.5096,226.7128,226.3058,230.3215,225.366,229.7013,79.47115,78.82524,86.73886,93.95815,84.02787,138.5031,143.2898,146.5497,148.0201,141.5096,192.6127,172.0753,173.3021,204.8451,203.2184,219.5107,219.5107,219.5107,219.5107,219.5107
0.9017999999999999,84.02787,79.47115,78.21934,86.73886,93.95815,143.2898,138.5031,147.0049,147.3864,141.9998,226.7973,226.3058,230.8757,225.366,229.7013,79.47115,78.21934,86.73886,93.95815,84.02787,138.5031,143.2898,147.0049,147.3864,141.9998,192.6127,172.0753,173.3021,204.8451,203.2184,219.5107,219.5107,219.5107,219.5107,219.5107
0.9352,84.02787,79.47115,78.21934,86.92755,93.95023,143.2898,138.3622,147.0049,147.3864,141.9998,226.7973,226.2683,230.8757,226.3492,229.6982,79.47115,78.21934,86.92755,93.95023,84.02787,138.3622,143.2898,147.0049,147.3864,141.9998,191.2625,172.0753,173.3021,204.8451,203.2184,219.5107,219.5107,219.5107,219.5107,219.5107
0.9686,84.03796,79.21782,78.21934,86.92755,93.95023,143.2898,138.3622,147.0049,147.3864,141.9998,225.8992,226.2683,230.8757,226.3492,229.6982,79.21782,78.21934,86.92755,93.95023,84.03796,138.3622,143.2898,147.0049,147.3864,141.9998,191.2625,172.0753,173.3021,204.8451,203.2184,219.5107,219.5107,219.5107,219.5107,219.5107
1.002,84.59988,79.21782,78.21934,86.92755,93.95023,143.2833,138.5436,147.4223,148.3214,141.9998,225.8992,226.2683,230.8757,226.3492,229.1141,79.21782,78.21934,86.92755,93.95023,84.59988,138.5436,143.2833,147.4223,148.3214,141.9998,191.2625,172.0753,173.3021,204.8451,203.2184,219.5107,219.5107,219.5107,219.5107,219.5107
1.0353999999999999,84.59988,79.21782,78.21934,86.92755,94.05808,143.2833,138.5436,147.4223,148.3214,141.4227,225.8992,226.1922,230.8757,226.1038,229.1141,79.21782,78.21934,86.92755,94.05808,84.59988,138.5436,143.2833,147.4223,148.3214,141.4227,191.2625,172.0753,173.3021,204.8451,203.2184,219.5107,219.5107,219.5107,219.5107,219.5107
1.0688,84.59988,79.39018,77.81242,87.6786,94.05808,143.328,138.5436,147.4223,148.3214,141.4227,225.8992,226.1922,230.4366,226.1038,229.1141,79.39018,77.81242,87.6786,94.05808,84.59988,138.5436,143.328,147.4223,148.3214,141.4227,192.1117,172.0753,173.3021,204.8451,203.2184,219.5107,219.5107,219.5107,219.5107,219.5107
1.1022,84.59988,79.39018,77.09659,87.6786,94.05808,143.328,138.5004,147.406,147.5584,141.4227,226.0899,226.1922,230.4366,226.1038,229.1099,79.39018,77.09659,87.6786,94.05808,84.59988,138.5004,143.328,147.406,147.5584,141.4227,192.1117,172.0753,173.3021,204.8451,203.2184,219.5107,219.5107,219.5107,219.5107,219.5107
1.1356,84.59988,79.39018,77.09659,88.93573,93.62915,143.1444,138.5004,147.406,147.5584,141.7775,226.0899,226.1922,230.5107,226.0968,229.1099,79.39018,77.09659,88.93573,93.62915,84.59988,138.5004,143.1444,147.406,147.5584,141.7775,192.1117,172.0753,173.3021,204.8451,203.2184,219.5107,219.5107,219.5107,219.5107,219.5107
1.169,84.37082,78.91065,77.09659,88.93573,93.62915,143.1444,138.5004,147.406,147.5584,141.7775,226.0899,225.7312,230.5107,226.0968,229.1099,78.91065,77.09659,88.93573,93.62915,84.37082,138.5004,143.1444,147.406,147.5584,141.7775,192.1117,172.0753,173.3021,204.8451,203.2184,219.5107,219.5107,219.5107,219.5107,219.5107
1.2024,84.37082,78.91065,76.86712,88.93573,93.62915,143.1444,138.3217,147.4916,147.634,141.9064,225.5468,225.7312,230.7072,226.0968,229.1099,78.91065,76.86712,88.93573,93.62915,84.37082,138.3217,143.1444,147.4916,147.634,141.9064,192.1117,172.0753,173.3021,204.8451,203.2184,219.5107,219.5107,219.5107,219.5107,219.5107
1.2358,84.37082,78.91065,76.86712,88.93573,93.29078,143.1444,138.3217,147.4916,147.634,141.9064,225.5468,225.7312,230.7072,225.7714,228.8908,78.91065,76.86712,88.93573,93.29078,84.37082,138.3217,143.1444,147.4916,147.634,141.9064,192.1117,172.0753,173.3021,204.8451,203.2184,219.5107,219.5107,219.5107,219.5107,219.5107
